Network,NTPminusSYS,SNTPminusSYS,Delay,RuntimeNTPOrder,PPStoUART,Sats
WiFi,-1.613,-11.69,21.256,NTPfirst,176202.0,6
WiFi,-44.526,-210.532,245.14,NTPfirst,172217.0,6
WiFi,2.719,-6.425,17.766,NTPfirst,177818.0,7
WiFi,-3.696,-8.308,23.346,NTPfirst,167050.0,6
WiFi,-1.765,-6.908,11.729,NTPfirst,176932.0,7
WiFi,-0.589,-13.8,23.55,NTPfirst,195102.0,8
WiFi,2.11,-9.309,20.105,NTPfirst,172582.0,6
WiFi,4.668,-1.408,11.696,NTPfirst,201609.0,9
WiFi,1.425,-9.167,25.073,NTPfirst,172337.0,8
WiFi,0.0,-5.843,14.472,NTPfirst,194699.0,9
WiFi,-1.499,-6.93,10.52,NTPfirst,173387.0,7
WiFi,-2.82,-15.526,35.628,NTPfirst,185341.0,8
WiFi,-46.941,-568.717,15.714,NTPfirst,183846.0,8
WiFi,3.129,-6.466,19.086,NTPfirst,180462.0,9
WiFi,69.755,55.315,36.607,NTPfirst,196548.0,6
WiFi,0.759,-3.307,10.193,NTPfirst,165944.0,7
WiFi,-16.741,-11.54,63.15,NTPfirst,165132.0,8
WiFi,-8.052,-13.472,29.596,NTPfirst,70037.0,4
WiFi,-3.156,-13.489,20.206,NTPfirst,169570.0,6
WiFi,-1.252,,13.675,NTPfirst,167925.0,6
WiFi,-0.277,-7.918,17.965,NTPfirst,177187.0,7
WiFi,-1.144,-7.48,19.962,NTPfirst,148505.0,6
WiFi,0.749,-6.331,14.433,NTPfirst,190242.0,8
WiFi,0.105,-8.246,16.762,NTPfirst,169742.0,6
WiFi,0.617,-8.216,15.599,NTPfirst,172915.0,6
WiFi,-1.343,-6.669,18.124,NTPfirst,168452.0,6
WiFi,0.497,-6.989,14.694,NTPfirst,112636.0,5
WiFi,-0.091,,16.907,NTPfirst,169154.0,6
WiFi,1.015,-6.305,14.051,NTPfirst,176600.0,7
WiFi,0.529,-6.28,13.018,NTPfirst,176776.0,7
WiFi,-1.168,-8.89,15.945,NTPfirst,147487.0,6
WiFi,-1.125,-6.813,16.398,NTPfirst,177120.0,7
WiFi,0.471,-6.332,13.323,NTPfirst,126828.0,6
WiFi,1.244,-8.545,19.095,NTPfirst,144284.0,8
WiFi,-0.058,-20.573,39.229,NTPfirst,159704.0,7
WiFi,0.662,-6.308,14.516,NTPfirst,160485.0,9
WiFi,0.042,-16.722,31.324,NTPfirst,151572.0,8
WiFi,-0.239,-6.734,15.754,NTPfirst,159290.0,9
WiFi,-0.024,-6.237,14.636,NTPfirst,157241.0,10
WiFi,-2.143,,23.665,NTPfirst,64075.0,4
WiFi,-4.209,-13.514,23.302,NTPfirst,68112.0,4
WiFi,-0.272,-6.996,15.921,NTPfirst,71157.0,4
WiFi,0.102,,14.797,NTPfirst,169404.0,10
WiFi,0.588,-6.738,14.142,NTPfirst,71597.0,4
WiFi,0.658,,15.694,NTPfirst,65730.0,4
WiFi,0.097,-6.083,16.6,NTPfirst,78862.0,4
WiFi,0.663,-9.279,20.619,NTPfirst,67599.0,4
WiFi,2.068,-11.281,22.385,NTPfirst,68844.0,4
WiFi,0.309,-19.457,38.476,NTPfirst,78872.0,4
WiFi,-0.877,-18.181,38.827,NTPfirst,69597.0,4
WiFi,1.016,-7.293,14.726,NTPfirst,68876.0,4
WiFi,2.184,-8.052,19.274,NTPfirst,71934.0,4
WiFi,-9.142,-47.933,121.71,NTPfirst,69264.0,4
WiFi,0.756,-7.182,10.31,NTPfirst,161106.0,10
WiFi,0.496,-6.38,13.478,NTPfirst,152033.0,9
WiFi,-2.771,-248.214,186.52,NTPfirst,144236.0,7
WiFi,-2.18,-13.458,20.992,NTPfirst,71799.0,5
WiFi,-2.145,-5.873,18.888,NTPfirst,153947.0,8
WiFi,0.286,-6.597,15.545,NTPfirst,153991.0,8
WiFi,0.635,-7.21,18.111,NTPfirst,144353.0,8
WiFi,0.836,,20.56,NTPfirst,154657.0,8
WiFi,0.766,-6.067,13.367,NTPfirst,144392.0,7
WiFi,-1.783,-17.079,31.652,NTPfirst,153393.0,8
WiFi,0.491,-7.389,15.058,NTPfirst,154285.0,8
WiFi,0.611,-7.285,15.537,NTPfirst,138351.0,7
WiFi,0.536,-6.751,14.163,NTPfirst,129735.0,6
WiFi,0.486,-6.74,14.276,NTPfirst,135960.0,6
WiFi,-3.027,-19.034,31.827,NTPfirst,81148.0,5
WiFi,1.415,-4.792,11.77,NTPfirst,137255.0,6
WiFi,-2.249,-12.907,20.842,NTPfirst,143575.0,7
WiFi,-2.585,-6.253,15.061,NTPfirst,153635.0,9
WiFi,-0.012,-6.96,15.95,NTPfirst,164890.0,10
WiFi,-0.57,-19.215,34.848,NTPfirst,149626.0,8
WiFi,-0.294,-19.153,37.634,NTPfirst,162717.0,9
WiFi,-16.696,-169.671,214.339,NTPfirst,144471.0,8
WiFi,1.104,-7.437,19.162,NTPfirst,80432.0,4
WiFi,1.488,-6.106,14.361,NTPfirst,136014.0,7
WiFi,0.142,-7.684,16.139,NTPfirst,68104.0,4
WiFi,0.349,-5.824,11.044,NTPfirst,67309.0,5
WiFi,4.568,-6.429,21.079,NTPfirst,77502.0,4
WiFi,-42.309,-125.855,200.649,NTPfirst,78299.0,5
WiFi,-62.44,-128.532,270.644,NTPfirst,79932.0,5
WiFi,1.377,-6.676,15.953,NTPfirst,66936.0,4
WiFi,-0.497,-9.213,14.655,NTPfirst,69459.0,5
WiFi,1.234,-7.582,23.316,NTPfirst,72369.0,5
WiFi,0.082,-6.678,15.408,NTPfirst,71552.0,4
WiFi,-53.079,-109.127,224.512,NTPfirst,69242.0,5
WiFi,0.136,-6.813,17.25,NTPfirst,67235.0,5
WiFi,-72.497,-80.967,262.994,NTPfirst,78597.0,5
WiFi,0.021,-8.81,19.285,NTPfirst,69539.0,5
WiFi,1.911,-3.985,13.648,NTPfirst,71448.0,4
WiFi,2.816,-3.878,26.941,NTPfirst,72379.0,5
WiFi,1.249,-5.634,15.851,NTPfirst,68590.0,5
WiFi,0.308,,14.197,NTPfirst,78866.0,5
WiFi,-0.738,-8.848,15.742,NTPfirst,75045.0,5
WiFi,1.172,-8.312,20.982,NTPfirst,70197.0,5
WiFi,-0.932,-9.57,20.648,NTPfirst,71014.0,5
WiFi,0.261,-8.535,18.914,NTPfirst,68350.0,5
WiFi,-15.079,-6.78,45.69,NTPfirst,67288.0,5
WiFi,0.41,-16.389,31.172,NTPfirst,76686.0,5
WiFi,-0.658,-6.135,13.782,NTPfirst,68075.0,5
WiFi,0.324,-9.821,16.008,NTPfirst,81484.0,5
WiFi,-0.257,-12.291,24.636,NTPfirst,69014.0,4
WiFi,0.4,-23.301,24.217,NTPfirst,70633.0,4
WiFi,0.624,-14.015,26.178,NTPfirst,67510.0,4
WiFi,2.195,-9.244,22.059,NTPfirst,69698.0,5
WiFi,-4.884,-32.149,17.497,NTPfirst,80896.0,4
WiFi,0.51,-8.478,16.922,NTPfirst,65625.0,5
WiFi,0.329,-5.629,10.917,NTPfirst,69222.0,5
WiFi,1.583,-13.249,29.264,NTPfirst,78575.0,5
WiFi,-0.594,-12.127,22.479,NTPfirst,63348.0,4
WiFi,-0.301,-6.819,16.105,NTPfirst,69889.0,5
WiFi,-3.03,-11.956,21.076,NTPfirst,69136.0,5
WiFi,-172.451,-171.709,268.498,NTPfirst,69081.0,5
WiFi,-162.723,-239.685,257.99,NTPfirst,67872.0,5
WiFi,-2.235,-8.183,21.913,NTPfirst,65367.0,5
WiFi,1.637,-7.535,21.728,NTPfirst,68677.0,5
WiFi,-0.494,-7.85,15.069,NTPfirst,75014.0,4
WiFi,-0.797,-8.207,18.457,NTPfirst,84231.0,4
WiFi,3.239,-7.556,19.255,NTPfirst,69643.0,4
WiFi,0.548,-8.068,17.058,NTPfirst,67782.0,4
WiFi,-1.871,-8.694,15.548,NTPfirst,137313.0,7
WiFi,0.912,-5.926,10.187,NTPfirst,127258.0,6
WiFi,2.588,-7.756,20.278,NTPfirst,143444.0,7
WiFi,0.584,-7.373,15.396,NTPfirst,163137.0,9
WiFi,-0.118,-6.888,15.834,NTPfirst,183162.0,10
WiFi,-0.08,-5.936,11.04,NTPfirst,165715.0,9
WiFi,0.0,-7.008,15.404,NTPfirst,181933.0,9
WiFi,-2.276,-12.668,19.682,NTPfirst,165676.0,9
WiFi,0.291,-5.976,14.565,NTPfirst,166397.0,8
WiFi,-2.553,-15.827,19.959,NTPfirst,174168.0,9
WiFi,-2.071,-11.874,19.063,NTPfirst,171370.0,10
WiFi,0.09,-15.845,17.683,NTPfirst,174805.0,9
WiFi,0.449,-6.939,16.342,NTPfirst,168680.0,10
WiFi,0.189,-9.668,20.324,NTPfirst,163446.0,10
WiFi,0.439,-6.486,13.244,NTPfirst,159951.0,9
WiFi,-1.171,-6.014,16.328,NTPfirst,163118.0,9
WiFi,-1.339,-6.872,17.294,NTPfirst,161454.0,9
WiFi,-2.126,-8.158,14.811,NTPfirst,135437.0,7
WiFi,-3.504,-15.314,17.73,NTPfirst,164161.0,9
WiFi,0.747,-5.576,12.647,NTPfirst,162903.0,9
WiFi,-0.303,-6.496,10.921,NTPfirst,163432.0,9
WiFi,6.991,0.278,15.593,NTPfirst,166537.0,10
WiFi,1.411,-10.404,20.544,NTPfirst,166332.0,9
WiFi,0.933,-11.731,21.601,NTPfirst,194259.0,10
WiFi,-0.544,,14.395,NTPfirst,192273.0,10
WiFi,1.258,,42.864,NTPfirst,180719.0,9
WiFi,-3.138,-17.934,31.218,NTPfirst,188714.0,9
