networkClass,connectivity,timeDifferenceTo1PPSms
Broadband,WiFi,-0.835
Broadband,WiFi,3.592
Broadband,WiFi,0.252
Broadband,WiFi,-0.166
Broadband,WiFi,-2.311
Broadband,WiFi,-0.781
Broadband,WiFi,-0.459
Broadband,WiFi,0.194
Broadband,WiFi,0.334
Broadband,WiFi,1.858
Broadband,WiFi,-93.197
Broadband,WiFi,0.586
Broadband,WiFi,0.1
Broadband,WiFi,0.152
Broadband,WiFi,1.122
Broadband,WiFi,1.981
Broadband,WiFi,1.813
Broadband,WiFi,-90.713
Broadband,WiFi,-3.629
Broadband,WiFi,-0.121
Broadband,WiFi,-0.882
Broadband,WiFi,-88.06
Broadband,WiFi,-81.659
Broadband,WiFi,0.528
Broadband,WiFi,-0.151
Broadband,WiFi,-1.972
Broadband,WiFi,0.215
Broadband,WiFi,1.526
Broadband,WiFi,1.989
Broadband,WiFi,1.413
Broadband,WiFi,2.686
Broadband,WiFi,2.236
Broadband,WiFi,-2.542
Broadband,WiFi,0.517
Broadband,WiFi,-0.295
Broadband,WiFi,-0.069
Broadband,WiFi,-0.605
Broadband,WiFi,-3.107
Broadband,WiFi,2.026
Broadband,WiFi,2.0
Broadband,WiFi,0.821
Broadband,WiFi,-1.165
Broadband,WiFi,-0.757
Broadband,WiFi,2.687
Broadband,WiFi,2.531
Broadband,WiFi,-30.427
Broadband,WiFi,3.362
Broadband,WiFi,2.179
Broadband,WiFi,3.22
Broadband,WiFi,3.313
Broadband,WiFi,3.168
Broadband,WiFi,1.326
Broadband,WiFi,3.652
Broadband,WiFi,3.613
Broadband,WiFi,3.213
Broadband,WiFi,2.937
Broadband,WiFi,0.444
Broadband,WiFi,0.657
Broadband,WiFi,3.068
Broadband,WiFi,3.77
Broadband,WiFi,1.316
Broadband,WiFi,3.798
Broadband,WiFi,1.709
Broadband,WiFi,4.074
Broadband,WiFi,5.015
Broadband,WiFi,6.021
Broadband,WiFi,3.308
Broadband,WiFi,2.716
Broadband,WiFi,0.661
Broadband,WiFi,4.853
Broadband,WiFi,3.066
Broadband,WiFi,2.796
Broadband,WiFi,4.086
Broadband,WiFi,3.75
Broadband,WiFi,1.319
Broadband,WiFi,4.832
Broadband,WiFi,5.742
Broadband,WiFi,-1.36
Broadband,WiFi,-0.055
Broadband,WiFi,5.272
Broadband,WiFi,4.34
Broadband,WiFi,3.638
Broadband,WiFi,3.812
Broadband,WiFi,0.783
Broadband,WiFi,5.889
Broadband,WiFi,1.848
Broadband,WiFi,2.098
Broadband,WiFi,4.369
Broadband,WiFi,3.28
Broadband,WiFi,2.713
Broadband,WiFi,3.159
Broadband,WiFi,3.467
Broadband,WiFi,1.929
Broadband,WiFi,-1.408
Broadband,WiFi,-66.758
Broadband,WiFi,3.566
Broadband,WiFi,-80.25
Broadband,WiFi,3.922
Broadband,WiFi,6.256
Broadband,WiFi,-15.094
Broadband,WiFi,0.51
Broadband,WiFi,0.333
Broadband,WiFi,3.631
Broadband,WiFi,3.767
Broadband,WiFi,1.491
Broadband,WiFi,5.186
Broadband,WiFi,1.228
Broadband,WiFi,1.369
Broadband,WiFi,4.862
Broadband,WiFi,-47.744
Broadband,WiFi,2.292
Broadband,WiFi,3.802
Broadband,WiFi,2.893
Broadband,WiFi,3.247
Broadband,WiFi,3.72
Broadband,WiFi,4.177
Broadband,WiFi,3.282
Broadband,WiFi,2.804
Broadband,WiFi,3.098
Broadband,WiFi,-1.304
Broadband,WiFi,1.776
Broadband,WiFi,-32.021
Broadband,WiFi,4.954
Broadband,WiFi,3.885
Broadband,WiFi,3.442
Broadband,WiFi,3.283
Broadband,WiFi,3.699
Broadband,WiFi,5.918
Broadband,WiFi,3.757
Broadband,WiFi,6.173
Broadband,WiFi,2.741
Broadband,WiFi,3.195
Broadband,WiFi,2.982
Broadband,WiFi,0.617
Broadband,WiFi,3.284
Broadband,WiFi,5.029
Broadband,WiFi,3.193
Broadband,WiFi,4.506
